,Title,Production_Budget,Domestic_Gross,Worldwide_Gross,Profit,Original_Language,Popularity,TMDB_Rating,Vote_Count,Quarter_Num,Year,IMDB_Rating,Runtime,Genre
1145,Won't Back Down,19000000.0,5310554.0,5745503.0,-13254497.0,en,6.14,6.3,64,3,2012,6.4,121.0,Dram
1268,The Comedian,15000000.0,1658706.0,1658706.0,-13341294.0,en,7.433,5.6,68,4,2016,5.7,120.0,Come
1269,The Comedian,15000000.0,1658706.0,1658706.0,-13341294.0,en,7.433,5.6,68,4,2016,5.7,120.0,Come
1291,Margaret,14000000.0,47185.0,623292.0,-13376708.0,en,8.747,6.3,138,3,2011,6.5,150.0,Dram
705,Only the Brave,38000000.0,18340051.0,24555177.0,-13444823.0,en,14.163,7.0,603,4,2017,7.7,134.0,Acti
871,The Space Between Us,30000000.0,7885294.0,16481405.0,-13518595.0,en,14.437000000000001,7.1,1455,1,2017,6.4,120.0,Adve
428,Downsizing,68000000.0,24449754.0,54462971.0,-13537029.0,en,10.682,5.1,1887,4,2017,5.7,135.0,Dram
427,Downsizing,68000000.0,24449754.0,54462971.0,-13537029.0,en,10.682,5.1,1887,4,2017,5.7,135.0,Dram
1135,The Frozen Ground,19200000.0,0.0,5617460.0,-13582540.0,en,10.34,6.3,762,3,2013,6.4,105.0,Crim
984,Straw Dogs,25000000.0,10324441.0,11253821.0,-13746179.0,en,8.749,5.7,255,3,2011,5.8,110.0,Acti
804,Repo Men,32000000.0,13942007.0,18195238.0,-13804762.0,en,12.437000000000001,6.2,976,1,2010,6.3,111.0,Acti
1273,The Son of No One,15000000.0,30680.0,1148578.0,-13851422.0,en,7.586,5.1,156,4,2011,5.1,90.0,Acti
1146,Action Point,19000000.0,5059608.0,5103675.0,-13896325.0,en,12.84,5.2,136,2,2018,5.0,85.0,Come
1122,Dylan Dog: Dead of Night,20000000.0,1186538.0,6093725.0,-13906275.0,en,7.507999999999999,4.4,243,4,2011,5.1,107.0,Acti
33,Robin Hood,99000000.0,30824628.0,84747441.0,-14252559.0,en,15.444,6.3,2569,2,2010,6.6,140.0,Acti
34,Robin Hood,99000000.0,30824628.0,84747441.0,-14252559.0,en,15.444,6.3,2569,2,2010,5.3,116.0,Acti
35,Robin Hood,99000000.0,30824628.0,84747441.0,-14252559.0,en,39.975,5.8,1194,4,2018,6.6,140.0,Acti
36,Robin Hood,99000000.0,30824628.0,84747441.0,-14252559.0,en,39.975,5.8,1194,4,2018,5.3,116.0,Acti
1147,Left Behind,18500000.0,4221341.0,4221341.0,-14278659.0,en,13.897,4.0,713,4,2014,3.1,110.0,Acti
1270,The Reluctant Fundamentalist,15000000.0,528731.0,528731.0,-14471269.0,en,7.46,6.7,120,1,2013,6.9,130.0,Dram
571,Snowden,50000000.0,21587519.0,35380918.0,-14619082.0,en,13.703,7.1,2427,3,2016,7.3,134.0,Biog
293,Mortal Engines,100000000.0,15951040.0,85287417.0,-14712583.0,en,40.095,6.0,1751,4,2018,6.1,128.0,Acti
685,Big Miracle,40000000.0,20157300.0,25268680.0,-14731320.0,en,6.76,6.6,250,1,2012,6.5,107.0,Biog
1118,Hands of Stone,20000000.0,4712792.0,5031975.0,-14968025.0,en,8.17,6.1,167,3,2016,6.6,111.0,Acti
10,The Lone Ranger,275000000.0,89302115.0,260002115.0,-14997885.0,en,12.482000000000001,6.0,3789,3,2013,6.4,150.0,Acti
811,Extraordinary Measures,31000000.0,12482741.0,15826984.0,-15173016.0,en,6.3,6.3,153,1,2010,6.5,106.0,Dram
1177,Unforgettable,18000000.0,2483790.0,2483790.0,-15516210.0,en,8.323,5.5,310,2,2017,5.1,100.0,Dram
994,On the Road,25000000.0,720828.0,9313302.0,-15686698.0,en,8.919,5.6,518,4,2012,6.1,124.0,Adve
1222,Vamps,16000000.0,3361.0,94812.0,-15905188.0,en,6.65,5.0,145,4,2012,5.2,92.0,Come
1053,The Beaver,21000000.0,970816.0,5046038.0,-15953962.0,en,7.357,6.3,464,2,2011,6.7,91.0,Dram
1124,By the Sea,20000000.0,538460.0,3727746.0,-16272254.0,en,6.471,5.4,306,4,2015,5.3,122.0,Dram
768,Sabotage,35000000.0,10508518.0,18376443.0,-16623557.0,en,14.055,5.5,779,1,2014,5.7,109.0,Acti
1180,Phantom,18000000.0,1034589.0,1199510.0,-16800490.0,en,7.211,6.0,151,1,2013,5.8,136.0,Acti
1179,Phantom,18000000.0,1034589.0,1199510.0,-16800490.0,en,7.211,6.0,151,1,2013,5.9,98.0,Dram
444,Red Dawn,65000000.0,44806783.0,48164150.0,-16835850.0,en,13.904000000000002,5.4,849,4,2012,5.4,93.0,Acti
776,Stolen,35000000.0,289773.0,17967746.0,-17032254.0,en,9.812999999999999,5.3,559,3,2012,5.5,96.0,Acti
1182,I Am Wrath,18000000.0,0.0,309608.0,-17690392.0,en,9.558,4.9,296,2,2016,5.4,92.0,Acti
1185,Wolves,18000000.0,0.0,94953.0,-17905047.0,en,4.27,5.8,22,4,2016,5.3,91.0,Acti
1184,Wolves,18000000.0,0.0,94953.0,-17905047.0,en,4.27,5.8,22,4,2016,5.3,91.0,Acti
1183,Wolves,18000000.0,0.0,94953.0,-17905047.0,en,8.627,5.8,151,4,2014,5.3,91.0,Acti
1044,Stone,22000000.0,1810078.0,4065020.0,-17934980.0,ru,2.84,4.9,8,2,2012,5.4,105.0,Dram
1043,Stone,22000000.0,1810078.0,4065020.0,-17934980.0,en,8.401,5.2,334,4,2010,5.4,105.0,Dram
1186,The Prince,18000000.0,0.0,0.0,-18000000.0,en,12.324000000000002,4.8,317,3,2014,4.6,93.0,Acti
1187,Forsaken,18000000.0,0.0,0.0,-18000000.0,en,9.472000000000001,5.9,161,1,2016,6.3,90.0,Acti
1188,Forsaken,18000000.0,0.0,0.0,-18000000.0,en,1.262,3.7,15,1,2016,6.3,90.0,Acti
992,Tulip Fever,25000000.0,2455635.0,6792768.0,-18207232.0,en,9.89,6.4,307,3,2017,6.2,105.0,Dram
